Wavelength(um) Flux(uJy) Error(uJy)
0.9747152328491211 2.070335056454779 0.027248953167844887
0.9884958863258362 2.2780824173555745 0.028119361419162797
1.0026065111160278 2.2676020776297845 0.027107038129396698
1.0170491933822632 2.394439870129412 0.0279997532464723
1.0318244695663452 2.5733916711986238 0.027838212193611225
1.0469309091567993 2.7832828020724074 0.028798611184890556
1.0623654127120972 3.025102143362014 0.028887952468752785
1.078121304512024 3.2796887361319667 0.028435744660962218
1.0941916704177856 3.3204632964890965 0.028941122220577296
1.1105719804763794 3.574685176285339 0.031151256036701873
1.127260684967041 3.833858229162187 0.031124805924592894
1.1442434787750244 3.9505910142410334 0.02961654862766643
1.1615101099014282 4.077404273576343 0.030021658283130446
1.179054617881775 4.165113600618017 0.030617308172769774
1.1968597173690796 4.526753232553982 0.032245165418542006
1.233209490776062 4.661264915595444 0.03332449967311275
1.308457851409912 5.998279216689134 0.03647921939022044
1.3277322053909302 6.1211209007891805 0.036425754382889516
1.347152829170227 6.226942840026101 0.03667131128637621
1.366703987121582 6.693554403301723 0.03792630806157782
1.3863705396652222 6.834291530854685 0.04076429532286818
1.4061371088027954 7.052625307307689 0.04089071485629705
1.4259892702102661 nan 0.04079968254676623
1.44591224193573 nan 0.03989372038476606
1.4658924341201782 6.673279227477561 0.04146665373088888
1.4859164953231812 7.0890517775894075 0.044488860702207395
1.5059717893600464 7.164712158814583 0.046780588111571715
1.5260456800460815 7.563104198693894 0.0471205990540796
1.5661202669143677 7.532629597834364 0.04757562150041298
1.5861159563064575 7.830334203692996 0.05035140614052861
1.6060903072357178 8.02893896501102 0.05056032034560192
1.6260344982147217 8.15516775938531 0.05080171406282091
1.645940899848938 8.15106016170041 0.05380043815511726
1.6658021211624146 8.76220016396772 0.05718709872014158
1.685611605644226 9.102960479686505 0.05790022524080594
1.7053632736206055 9.216078702654336 0.05602472430772908
1.7250514030456543 9.30554423598072 0.059305485986461924
1.7446712255477905 9.556240785711593 0.06175339308481807
1.7642189264297485 9.496784622590315 0.06131739493430127
1.783697247505188 9.247137471161004 0.06251030952244657
1.803108811378479 9.907036404689924 0.0642699933808492
1.841676950454712 10.00026553896826 0.06291613689447502
1.860828161239624 10.559784616804915 0.06980131240920387
1.879887342453003 10.675228437646034 0.07099642025771065
1.8988523483276367 10.699015697764407 0.06955395635599787
1.9177223443984985 10.944369602758256 0.07100268482486097
1.9364959001541138 11.37286351819309 0.07196665602608274
1.9737484455108643 11.624289899415528 0.07319716672515757
1.9922256469726562 11.737505882529508 0.07616341850184287
2.0106048583984375 11.489244274682463 0.07611826441486823
2.028890371322632 11.374551442375859 0.07621264569866595
2.0470762252807617 11.717976454323102 0.07572137825855275
2.065162181854248 11.659904472797386 0.07936072436243617
2.0831456184387207 12.133569505973536 0.08011953352214389
2.10102915763855 12.171441856077148 0.07917492916163332
2.118812084197998 12.195459541006226 0.08133411672967622
2.1364943981170654 12.413814987635995 0.08337705187912718
2.1540775299072266 12.20544241411315 0.08257788340346142
2.171560764312744 12.671049582342448 0.08482545654004091
2.1889455318450928 12.310863271735958 0.08521751665899853
2.2062318325042725 12.770505404123927 0.08797479978942505
2.2234203815460205 12.550795263293402 0.08429467388437444
2.2575061321258545 12.563133988726062 0.0865615987284912
2.2744052410125732 12.945475438527037 0.08996616129626632
2.291208267211914 13.301385012174041 0.09043460430281895
2.307917833328247 13.145170935862318 0.09042880073171096
2.324535608291626 12.674515895027254 0.08915103597008411
2.341059684753418 13.169076738135779 0.09444972406854106
2.3574931621551514 13.294608378283383 0.09329793262644002
2.3738369941711426 13.383001867624692 0.09689863002545496
2.3900911808013916 13.753389947748001 0.09667884147236597
2.4062559604644775 13.582996155645958 0.09414407782902662
2.4223337173461914 13.483386550200237 0.09360002876733237
2.4383251667022705 13.640110254430343 0.09495652912699881
2.4542312622070312 13.244198932452413 0.09387140940539804
2.470052719116211 13.195929883253067 0.09581125328719572
2.4857981204986572 12.0970996466658 0.09776599244457798
2.5014774799346924 12.668281333278454 0.09629224540261949
2.5170745849609375 12.904897456999791 0.09507677852702368
2.532590389251709 13.014551687728279 0.09715742278078326
2.548025369644165 13.14143673963314 0.09983226402290526
2.5633809566497803 12.928650258892684 0.09936073935098447
2.578657388687134 12.682650041932538 0.09776622738525242
2.5938560962677 12.251566596786613 0.09776153806380396
2.608977794647217 12.651961523176446 0.1010348101197992
2.624022960662842 13.013217975039883 0.1038271122515654
2.63899302482605 12.847434033958585 0.10639151155383626
2.653888702392578 13.251238702329015 0.10314187204260394
2.668710708618164 12.597717954541505 0.10427722066416517
2.683459758758545 12.404896802325823 0.10030313124130535
2.698137044906616 12.500121542817034 0.10463356157123792
2.7127416133880615 12.908887581900714 0.10529639932167406
2.741711139678955 12.943858894425146 0.107738875497119
2.7560908794403076 13.367341147829073 0.11106075690959849
2.7704029083251953 12.795558015044818 0.11611619752334983
2.7846484184265137 12.227823210857936 0.10950060088233857
2.7988269329071045 12.549045259463398 0.11356925601261708
2.8129401206970215 12.316074351485085 0.11616657864993647
2.826988935470581 12.10113025917541 0.12247492812162915
2.8409743309020996 12.530003765979938 0.11319626323482902
2.8548967838287354 12.756385499863647 0.11581325109939157
2.86875581741333 12.4755780497401 0.11652314279962106
2.8825531005859375 12.294464948020524 0.11489096852955724
2.896289825439453 11.794582175950726 0.11643144242781324
2.9099667072296143 12.067324359370577 0.11751633062435553
2.9235827922821045 11.439194157961754 0.11773720726160944
2.9371397495269775 11.984098192928954 0.12160700032050033
2.950639247894287 11.996389972458546 0.1190804860558451
2.9640824794769287 11.699202452481956 0.11849592921957362
2.9774675369262695 11.668870641322513 0.11606716641850652
2.9907968044281006 11.735779493714471 0.12295474972148379
3.004070281982422 11.752954748658238 0.12156789808293358
3.017287492752075 9.975126496954315 0.11302737814142
3.0304508209228516 8.922019410591169 0.10741436973538408
3.056614398956299 8.187227239917704 0.10901799174209222
3.069617509841919 8.159115779405543 0.11150284843481306
3.082566261291504 7.942751193712746 0.1071094070080998
3.0954644680023193 7.969305217187371 0.11416688344150212
3.1083104610443115 7.539223198872701 0.11222671534789587
3.121105909347534 7.965196966000166 0.11150481846729236
3.1338512897491455 8.379988102658642 0.10880840764164523
3.1465461254119873 7.406908277430544 0.1727011593299589
3.1591928005218506 8.144280204950533 0.1133385941546488
3.1717889308929443 8.254859953780018 0.11816735950161052
3.1843392848968506 8.185322952605443 0.11325701282203944
3.1968438625335693 8.159475825845067 0.11917879498348524
3.209303617477417 8.128517229459323 0.12145492890096926
3.221714496612549 8.02528292556272 0.1175073877739396
3.2340805530548096 7.892216820496463 0.12034810227980407
3.246399402618408 7.771956825729134 0.12339375884950252
3.2586734294891357 8.455765726430624 0.120140414646014
3.270901679992676 8.5853567735996 0.1241416500985431
3.283085584640503 8.515144222476021 0.12279650761508033
3.2952256202697754 8.52295298424372 0.12340490918159179
3.307321071624756 8.48211427899339 0.12465872198235736
