This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
113     0.496037326       0.495211972          0.00165070657      4.61854e+09     2.20677e+10     0.00720212              
114     0.497690783       0.496862679          0.00165620893      4.55978e+09     2.19998e+10     0.00727249              
115     0.499349753       0.498518888          0.00166172963      4.50175e+09     2.22447e+10     0.00744825              
116     0.501014252       0.500180618          0.00166726873      4.44445e+09     2.20096e+10     0.00746453              
117     0.502684299       0.501847886          0.00167282629      4.38787e+09     2.1243e+10      0.00729743              
118     0.504359914       0.503520713          0.00167840238      4.33201e+09     2.01554e+10     0.0070131               
119     0.506041113       0.505199115          0.00168399705      4.27685e+09     1.95097e+10     0.00687599              
120     0.507727917       0.506883112          0.00168961037      4.22238e+09     1.87579e+10     0.0066963               
121     0.509420344       0.508572722          0.00169524241      4.16861e+09     1.64358e+10     0.00594303              
122     0.511118411       0.510267965          0.00170089322      4.11551e+09     1.88821e+10     0.00691567              
123     0.512822139       0.511968858          0.00170656286      4.06307e+09     1.5998e+10      0.00593496              
124     0.514531547       0.513675421          0.0017122514       4.01131e+09     2.03078e+10     0.00763106              
125     0.516246652       0.515387672          0.00171795891      3.96019e+09     1.72725e+10     0.00657428              
126     0.517967474       0.517105631          0.00172368544      3.90972e+09     3.26049e+10     0.0125703               
127     0.519694032       0.518829317          0.00172943106      3.85988e+09     3.35626e+10     0.0131066               
128     0.521426346       0.520558748          0.00173519583      3.81068e+09     3.44041e+10     0.0136087               
129     0.523164433       0.522293944          0.00174097981      3.76209e+09     3.52543e+10     0.0141251               
130     0.524908315       0.524034923          0.00174678308      3.71412e+09     3.60962e+10     0.0146492               
131     0.526658009       0.525781706          0.00175260569      3.66675e+09     3.69525e+10     0.0151904               
132     0.528413536       0.527534312          0.00175844771      3.61998e+09     3.77844e+10     0.0157331               
133     0.530174914       0.52929276           0.0017643092       3.57381e+09     3.85784e+10     0.0162713               
134     0.531942164       0.531057069          0.00177019023      3.52821e+09     3.93785e+10     0.0168233               
135     0.533715305       0.532827259          0.00177609086      3.48319e+09     4.01478e+10     0.0173737               
136     0.535494356       0.53460335           0.00178201117      3.43874e+09     4.08102e+10     0.0178886               
137     0.537279337       0.536385361          0.0017879512       3.39485e+09     4.15477e+10     0.0184473               
138     0.539070268       0.538173312          0.00179391104      3.35152e+09     4.20772e+10     0.018924                
139     0.540867169       0.539967223          0.00179989074      3.30874e+09     4.21358e+10     0.0191954               
140     0.542670059       0.541767114          0.00180589038      3.26649e+09     4.24243e+10     0.0195768               
141     0.54447896        0.543573005          0.00181191002      3.22478e+09     4.21363e+10     0.0196954               
142     0.546293889       0.545384915          0.00181794972      3.1836e+09      4.19914e+10     0.0198815               
143     0.548114869       0.547202864          0.00182400955      3.14294e+09     4.27926e+10     0.020523                
144     0.549941919       0.549026874          0.00183008958      3.10279e+09     4.13497e+10     0.0200876               
145     0.551775058       0.550856963          0.00183618988      3.06315e+09     4.31554e+10     0.0212361               
146     0.553614309       0.552693153          0.00184231051      3.02401e+09     4.04322e+10     0.0201536               
147     0.55545969        0.554535464          0.00184845155      2.98537e+09     4.44512e+10     0.0224436               
148     0.557311222       0.556383915          0.00185461305      2.94722e+09     4.15601e+10     0.0212555               
149     0.559168926       0.558238528          0.00186079509      2.90955e+09     4.46313e+10     0.0231218               
150     0.561032822       0.560099324          0.00186699775      2.87236e+09     4.91761e+10     0.0258062               
151     0.562902932       0.561966321          0.00187322107      2.83563e+09     4.23159e+10     0.0224937               
152     0.564779275       0.563839542          0.00187946514      2.79938e+09     6.08345e+10     0.0327565               
153     0.566661873       0.565719008          0.00188573003      2.76358e+09     6.22744e+10     0.0339661               
154     0.568550745       0.567604738          0.00189201579      2.72824e+09     6.36586e+10     0.0351709               
155     0.570445915       0.569496753          0.00189832251      2.69334e+09     6.51202e+10     0.0364446               
