This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
114     0.497690783       0.496862679          0.00165620893      0               2.2563e+11      not_avail.              
115     0.499349753       0.498518888          0.00166172963      0               1.88129e+11     not_avail.              
116     0.501014252       0.500180618          0.00166726873      0               1.68512e+11     not_avail.              
117     0.502684299       0.501847886          0.00167282629      0               1.15081e+11     not_avail.              
118     0.504359914       0.503520713          0.00167840238      0               8.08427e+10     not_avail.              
119     0.506041113       0.505199115          0.00168399705      0               9.33604e+10     not_avail.              
120     0.507727917       0.506883112          0.00168961037      0               9.37048e+10     not_avail.              
121     0.509420344       0.508572722          0.00169524241      0               6.6697e+10      not_avail.              
122     0.511118411       0.510267965          0.00170089322      0               1.05982e+11     not_avail.              
123     0.512822139       0.511968858          0.00170656286      0               8.61957e+10     not_avail.              
124     0.514531547       0.513675421          0.0017122514       0               1.31756e+11     not_avail.              
125     0.516246652       0.515387672          0.00171795891      0               1.53884e+11     not_avail.              
126     0.517967474       0.517105631          0.00172368544      0               4.65201e+11     not_avail.              
127     0.519694032       0.518829317          0.00172943106      0               5.53933e+11     not_avail.              
128     0.521426346       0.520558748          0.00173519583      0               5.63644e+11     not_avail.              
129     0.523164433       0.522293944          0.00174097981      0               5.68924e+11     not_avail.              
130     0.524908315       0.524034923          0.00174678308      0               5.68666e+11     not_avail.              
131     0.526658009       0.525781706          0.00175260569      0               5.53907e+11     not_avail.              
132     0.528413536       0.527534312          0.00175844771      0               5.30292e+11     not_avail.              
133     0.530174914       0.52929276           0.0017643092       0               4.98839e+11     not_avail.              
134     0.531942164       0.531057069          0.00177019023      0               4.92137e+11     not_avail.              
135     0.533715305       0.532827259          0.00177609086      0               4.74455e+11     not_avail.              
136     0.535494356       0.53460335           0.00178201117      0               4.22248e+11     not_avail.              
137     0.537279337       0.536385361          0.0017879512       0               4.19761e+11     not_avail.              
138     0.539070268       0.538173312          0.00179391104      0               3.53852e+11     not_avail.              
139     0.540867169       0.539967223          0.00179989074      0               2.77065e+11     not_avail.              
140     0.542670059       0.541767114          0.00180589038      0               2.40276e+11     not_avail.              
141     0.54447896        0.543573005          0.00181191002      0               2.22497e+11     not_avail.              
142     0.546293889       0.545384915          0.00181794972      0               2.23007e+11     not_avail.              
143     0.548114869       0.547202864          0.00182400955      0               3.12504e+11     not_avail.              
144     0.549941919       0.549026874          0.00183008958      0               2.49008e+11     not_avail.              
145     0.551775058       0.550856963          0.00183618988      0               3.44229e+11     not_avail.              
146     0.553614309       0.552693153          0.00184231051      0               2.49651e+11     not_avail.              
147     0.55545969        0.554535464          0.00184845155      0               3.85612e+11     not_avail.              
148     0.557311222       0.556383915          0.00185461305      0               2.6567e+11      not_avail.              
149     0.559168926       0.558238528          0.00186079509      0               4.26201e+11     not_avail.              
150     0.561032822       0.560099324          0.00186699775      0               4.79085e+11     not_avail.              
151     0.562902932       0.561966321          0.00187322107      0               3.19822e+11     not_avail.              
152     0.564779275       0.563839542          0.00187946514      0               9.16872e+11     not_avail.              
153     0.566661873       0.565719008          0.00188573003      0               9.61494e+11     not_avail.              
154     0.568550745       0.567604738          0.00189201579      0               9.33303e+11     not_avail.              
155     0.570445915       0.569496753          0.00189832251      0               9.45301e+11     not_avail.              
156     0.572347401       0.571395076          0.00190465025      0               9.27708e+11     not_avail.              
157     0.574255226       0.573299726          0.00191099909      0               8.92389e+11     not_avail.              
158     0.57616941        0.575210725          0.00191736908      0               9.10747e+11     not_avail.              
159     0.578089974       0.577128094          0.00192376031      0               8.71997e+11     not_avail.              
160     0.580016941       0.579051855          0.00193017285      0               8.57932e+11     not_avail.              
161     0.581950331       0.580982027          0.00193660676      0               8.05943e+11     not_avail.              
162     0.583890165       0.582918634          0.00194306211      0               7.74101e+11     not_avail.              
163     0.585836466       0.584861696          0.00194953899      0               7.28493e+11     not_avail.              
164     0.587789254       0.586811235          0.00195603745      0               6.2567e+11      not_avail.              
165     0.589748552       0.588767273          0.00196255758      0               5.88777e+11     not_avail.              
166     0.59171438        0.59072983           0.00196909943      0               6.92064e+11     not_avail.              
167     0.593686761       0.59269893           0.0019756631       0               7.13417e+11     not_avail.              
168     0.595665717       0.594674593          0.00198224864      0               6.63958e+11     not_avail.              
169     0.59765127        0.596656842          0.00198885614      0               7.92855e+11     not_avail.              
170     0.59964344        0.598645698          0.00199548566      0               6.31364e+11     not_avail.              
171     0.601642252       0.600641183          0.00200213728      0               8.4907e+11      not_avail.              
172     0.603647726       0.602643321          0.00200881107      0               7.68869e+11     not_avail.              
173     0.605659885       0.604652132          0.00201550711      0               7.22655e+11     not_avail.              
174     0.607678751       0.606667639          0.00202222546      0               1.00189e+12     not_avail.              
175     0.609704347       0.608689864          0.00202896621      0               9.04214e+11     not_avail.              
176     0.611736695       0.61071883           0.00203572943      0               7.35878e+11     not_avail.              
177     0.613775817       0.61275456           0.0020425152       0               1.21212e+12     not_avail.              
178     0.615821737       0.614797075          0.00204932358      0               1.07032e+12     not_avail.              
179     0.617874476       0.616846399          0.00205615466      0               9.24628e+11     not_avail.              
180     0.619934058       0.618902553          0.00206300851      0               1.27113e+12     not_avail.              
181     0.622000504       0.620965562          0.00206988521      0               1.54921e+12     not_avail.              
182     0.624073839       0.623035447          0.00207678482      0               1.54695e+12     not_avail.              
183     0.626154086       0.625112232          0.00208370744      0               1.51639e+12     not_avail.              
184     0.628241266       0.627195939          0.00209065313      0               1.48066e+12     not_avail.              
185     0.630335403       0.629286592          0.00209762197      0               1.37742e+12     not_avail.              
186     0.632436521       0.631384214          0.00210461405      0               1.4623e+12      not_avail.              
187     0.634544643       0.633488828          0.00211162943      0               1.511e+12       not_avail.              
188     0.636659792       0.635600458          0.00211866819      0               1.47394e+12     not_avail.              
189     0.638781991       0.637719126          0.00212573042      0               1.47381e+12     not_avail.              
190     0.640911265       0.639844856          0.00213281619      0               1.38296e+12     not_avail.              
191     0.643047635       0.641977673          0.00213992558      0               1.36767e+12     not_avail.              
192     0.645191128       0.644117598          0.00214705866      0               1.35736e+12     not_avail.              
193     0.647341765       0.646264657          0.00215421552      0               1.38191e+12     not_avail.              
194     0.649499571       0.648418872          0.00216139624      0               1.55579e+12     not_avail.              
195     0.651664569       0.650580269          0.0021686009       0               1.50088e+12     not_avail.              
196     0.653836784       0.65274887           0.00217582957      0               1.48473e+12     not_avail.              
197     0.65601624        0.654924699          0.00218308233      0               1.53971e+12     not_avail.              
198     0.658202961       0.657107781          0.00219035927      0               1.41506e+12     not_avail.              
199     0.660396971       0.659298141          0.00219766047      0               1.5314e+12      not_avail.              
200     0.662598294       0.661495801          0.002204986        0               1.68504e+12     not_avail.              
201     0.664806955       0.663700787          0.00221233596      0               1.66101e+12     not_avail.              
202     0.667022978       0.665913123          0.00221971041      0               1.53175e+12     not_avail.              
203     0.669246388       0.668132834          0.00222710945      0               1.76523e+12     not_avail.              
204     0.67147721        0.670359943          0.00223453314      0               1.73912e+12     not_avail.              
205     0.673715467       0.672594476          0.00224198159      0               1.65245e+12     not_avail.              
206     0.675961185       0.674836458          0.00224945486      0               1.67911e+12     not_avail.              
207     0.678214389       0.677085913          0.00225695304      0               2.08793e+12     not_avail.              
208     0.680475104       0.679342866          0.00226447622      0               2.00449e+12     not_avail.              
209     0.682743354       0.681607342          0.00227202447      0               1.94167e+12     not_avail.              
210     0.685019165       0.683879366          0.00227959789      0               1.81355e+12     not_avail.              
211     0.687302563       0.686158964          0.00228719655      0               2.28256e+12     not_avail.              
212     0.689593571       0.688446161          0.00229482054      0               2.2631e+12      not_avail.              
213     0.691892216       0.690740981          0.00230246994      0               2.15855e+12     not_avail.              
214     0.694198524       0.693043451          0.00231014484      0               2.29853e+12     not_avail.              
215     0.696512519       0.695353596          0.00231784532      0               2.30441e+12     not_avail.              
216     0.698834227       0.697671441          0.00232557147      0               2.33684e+12     not_avail.              
217     0.701163675       0.699997013          0.00233332338      0               2.33972e+12     not_avail.              
218     0.703500887       0.702330336          0.00234110112      0               2.34897e+12     not_avail.              
219     0.70584589        0.704671437          0.00234890479      0               2.25997e+12     not_avail.              
220     0.708198709       0.707020342          0.00235673447      0               2.22195e+12     not_avail.              
221     0.710559372       0.709377077          0.00236459026      0               2.37935e+12     not_avail.              
222     0.712927903       0.711741667          0.00237247222      0               2.32948e+12     not_avail.              
223     0.715304329       0.714114139          0.00238038046      0               2.26452e+12     not_avail.              
224     0.717688677       0.71649452           0.00238831507      0               2.41629e+12     not_avail.              
225     0.720080973       0.718882835          0.00239627612      0               2.45304e+12     not_avail.              
226     0.722481243       0.721279111          0.0024042637       0               2.45773e+12     not_avail.              
227     0.724889513       0.723683374          0.00241227791      0               2.51489e+12     not_avail.              
228     0.727305812       0.726095652          0.00242031884      0               2.50683e+12     not_avail.              
229     0.729730165       0.728515971          0.00242838657      0               2.37983e+12     not_avail.              
230     0.732162598       0.730944358          0.00243648119      0               2.38887e+12     not_avail.              
231     0.73460314        0.733380839          0.0024446028       0               2.59203e+12     not_avail.              
232     0.737051818       0.735825442          0.00245275147      0               2.70115e+12     not_avail.              
233     0.739508657       0.738278193          0.00246092731      0               2.73248e+12     not_avail.              
234     0.741973686       0.740739121          0.0024691304       0               2.72197e+12     not_avail.              
235     0.744446931       0.743208251          0.00247736084      0               2.78255e+12     not_avail.              
236     0.746928421       0.745685612          0.00248561871      0               2.63372e+12     not_avail.              
237     0.749418183       0.748171231          0.0024939041       0               2.71339e+12     not_avail.              
238     0.751916243       0.750665135          0.00250221712      0               2.78335e+12     not_avail.              
239     0.754422631       0.753167352          0.00251055784      0               2.96507e+12     not_avail.              
240     0.756937373       0.75567791           0.00251892637      0               3.16303e+12     not_avail.              
241     0.759460497       0.758196836          0.00252732279      0               3.21059e+12     not_avail.              
242     0.761992032       0.760724159          0.0025357472       0               3.19684e+12     not_avail.              
243     0.764532006       0.763259906          0.00254419969      0               2.92936e+12     not_avail.              
244     0.767080446       0.765804106          0.00255268035      0               3.06253e+12     not_avail.              
245     0.769637381       0.768356786          0.00256118929      0               3.29523e+12     not_avail.              
246     0.772202839       0.770917975          0.00256972658      0               3.10503e+12     not_avail.              
247     0.774776848       0.773487702          0.00257829234      0               3.34606e+12     not_avail.              
248     0.777359437       0.776065994          0.00258688665      0               3.42441e+12     not_avail.              
249     0.779950636       0.778652881          0.0025955096       0               3.44753e+12     not_avail.              
250     0.782550471       0.78124839           0.0026041613       0               3.3446e+12      not_avail.              
