This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
98      0.471884535       0.471099369          0.00157033123      5.59546e+09     1.49856e+10     0.00403687              
99      0.473457483       0.4726697            0.00157556567      5.52441e+09     2.54524e+10     0.00694466              
100     0.475035675       0.474245266          0.00158081755      5.45426e+09     6.13254e+10     0.0169478               
101     0.476619127       0.475826084          0.00158608695      5.38498e+09     6.68621e+10     0.0187156               
102     0.478207858       0.477412171          0.0015913739       5.31657e+09     7.00886e+10     0.0198712               
103     0.479801884       0.479003544          0.00159667848      5.24903e+09     7.28809e+10     0.0209287               
104     0.481401223       0.480600223          0.00160200074      5.18233e+09     7.574e+10       0.0220297               
105     0.483005894       0.482202224          0.00160734075      5.11647e+09     7.60971e+10     0.0224185               
106     0.484615914       0.483809564          0.00161269855      5.05144e+09     7.64758e+10     0.0228201               
107     0.4862313         0.485422263          0.00161807421      4.98722e+09     7.74869e+10     0.0234195               
108     0.487852071       0.487040337          0.00162346779      4.92381e+09     7.77425e+10     0.0237993               
109     0.489478245       0.488663805          0.00162887935      4.8612e+09      7.82123e+10     0.0242515               
110     0.491109839       0.490292684          0.00163430895      4.79938e+09     7.81155e+10     0.0245335               
111     0.492746872       0.491926993          0.00163975664      4.73834e+09     7.59129e+10     0.0241489               
112     0.494389361       0.49356675           0.0016452225       4.67806e+09     7.22274e+10     0.0232726               
113     0.496037326       0.495211972          0.00165070657      4.61854e+09     7.05816e+10     0.0230353               
114     0.497690783       0.496862679          0.00165620893      4.55978e+09     6.5694e+10      0.0217165               
115     0.499349753       0.498518888          0.00166172963      4.50175e+09     6.09567e+10     0.0204102               
116     0.501014252       0.500180618          0.00166726873      4.44445e+09     5.73749e+10     0.0194586               
117     0.502684299       0.501847886          0.00167282629      4.38787e+09     4.60036e+10     0.0158032               
118     0.504359914       0.503520713          0.00167840238      4.33201e+09     3.4714e+10      0.0120788               
119     0.506041113       0.505199115          0.00168399705      4.27685e+09     3.70891e+10     0.0130717               
120     0.507727917       0.506883112          0.00168961037      4.22238e+09     3.65828e+10     0.0130595               
121     0.509420344       0.508572722          0.00169524241      4.16861e+09     2.79158e+10     0.0100941               
122     0.511118411       0.510267965          0.00170089322      4.11551e+09     3.94009e+10     0.0144308               
123     0.512822139       0.511968858          0.00170656286      4.06307e+09     3.16423e+10     0.0117387               
124     0.514531547       0.513675421          0.0017122514       4.01131e+09     4.68094e+10     0.0175896               
125     0.516246652       0.515387672          0.00171795891      3.96019e+09     4.57783e+10     0.0174242               
126     0.517967474       0.517105631          0.00172368544      3.90972e+09     1.19704e+11     0.0461499               
127     0.519694032       0.518829317          0.00172943106      3.85988e+09     1.33566e+11     0.0521589               
128     0.521426346       0.520558748          0.00173519583      3.81068e+09     1.36754e+11     0.0540935               
129     0.523164433       0.522293944          0.00174097981      3.76209e+09     1.39562e+11     0.0559172               
130     0.524908315       0.524034923          0.00174678308      3.71412e+09     1.40668e+11     0.0570883               
131     0.526658009       0.525781706          0.00175260569      3.66675e+09     1.41604e+11     0.0582106               
132     0.528413536       0.527534312          0.00175844771      3.61998e+09     1.4028e+11      0.0584112               
133     0.530174914       0.52929276           0.0017643092       3.57381e+09     1.37363e+11     0.0579359               
134     0.531942164       0.531057069          0.00177019023      3.52821e+09     1.36975e+11     0.0585189               
135     0.533715305       0.532827259          0.00177609086      3.48319e+09     1.36325e+11     0.0589936               
136     0.535494356       0.53460335           0.00178201117      3.43874e+09     1.30587e+11     0.0572413               
137     0.537279337       0.536385361          0.0017879512       3.39485e+09     1.3006e+11      0.0577473               
138     0.539070268       0.538173312          0.00179391104      3.35152e+09     1.20197e+11     0.0540581               
139     0.540867169       0.539967223          0.00179989074      3.30874e+09     1.06999e+11     0.0487445               
140     0.542670059       0.541767114          0.00180589038      3.26649e+09     9.94785e+10     0.0459046               
141     0.54447896        0.543573005          0.00181191002      3.22478e+09     9.12959e+10     0.0426735               
142     0.546293889       0.545384915          0.00181794972      3.1836e+09      8.82999e+10     0.0418071               
143     0.548114869       0.547202864          0.00182400955      3.14294e+09     1.08189e+11     0.0518865               
144     0.549941919       0.549026874          0.00183008958      3.10279e+09     9.3177e+10      0.0452652               
145     0.551775058       0.550856963          0.00183618988      3.06315e+09     1.16402e+11     0.0572797               
146     0.553614309       0.552693153          0.00184231051      3.02401e+09     9.16268e+10     0.0456716               
147     0.55545969        0.554535464          0.00184845155      2.98537e+09     1.26175e+11     0.0637066               
148     0.557311222       0.556383915          0.00185461305      2.94722e+09     9.70113e+10     0.0496156               
